domain,pc1,afm,afm_bias,afm_min,afm_rely,fc,mbfc,mbfc_bias,mbfc_fact,mbfc_min,lewandowsky_acc,lewandowsky_trans,lewandowsky_rely,lewandowsky_mean,lewandowsky_min,misinfome_bin
oilprice.com,0.911884947823762,0.836065351963043,0.808912992477417,0.803138911724091,0.874540328979492,0.66706520318985,0.9167,1,0.8333,0.8333,1,1,1,1,1,1
nber.org,0.911884947823762,0.836065351963043,0.808912992477417,0.803138911724091,0.874540328979492,0.66706520318985,0.9167,1,0.8333,0.8333,1,1,1,1,1,1
agerpres.ro,0.911884947823762,0.836065351963043,0.808912992477417,0.803138911724091,0.874540328979492,0.66706520318985,0.9167,1,0.8333,0.8333,1,1,1,1,1,1
thestrategybridge.org,0.911884947823762,0.836065351963043,0.808912992477417,0.803138911724091,0.874540328979492,0.66706520318985,0.9167,1,0.8333,0.8333,1,1,1,1,1,1
geek.com,0.911884947823762,0.836065351963043,0.808912992477417,0.803138911724091,0.874540328979492,0.66706520318985,0.9167,1,0.8333,0.8333,1,1,1,1,1,1
stratfor.com,0.911884947823762,0.836065351963043,0.808912992477417,0.803138911724091,0.874540328979492,0.66706520318985,0.9167,1,0.8333,0.8333,1,1,1,1,1,1
strategypage.com,0.911884947823762,0.836065351963043,0.808912992477417,0.803138911724091,0.874540328979492,0.66706520318985,0.9167,1,0.8333,0.8333,1,1,1,1,1,1
airwars.org,0.911884947823762,0.836065351963043,0.808912992477417,0.803138911724091,0.874540328979492,0.66706520318985,0.9167,1,0.8333,0.8333,1,1,1,1,1,1
sayfiereview.com,0.911884947823762,0.836065351963043,0.808912992477417,0.803138911724091,0.874540328979492,0.66706520318985,0.9167,1,0.8333,0.8333,1,1,1,1,1,1
kusi.com,0.911575837998327,0.888768017292023,0.891063272953033,0.863303780555725,0.887666046619415,0.622641265392304,0.83963680267334,0.919999241828918,0.833429217338562,0.835234880447388,1,1,1,1,1,1
sltrib.com,0.910621073372594,0.9256,0.9218,0.9218,0.9293,0.666579723358154,0.9167,1,0.8333,0.8333,0.75,1,1,0.875,0.75,1
congress.gov,0.910055955606308,0.741666316986084,0.725654244422913,0.713097214698792,0.772345125675201,0.597559213638306,1,1,1,1,1,1,1,1,1,1
csis.org,0.910055955606308,0.741666316986084,0.725654244422913,0.713097214698792,0.772345125675201,0.597559213638306,1,1,1,1,1,1,1,1,1,1
howtogeek.com,0.910055955606308,0.741666316986084,0.725654244422913,0.713097214698792,0.772345125675201,0.597559213638306,1,1,1,1,1,1,1,1,1,1
usafacts.org,0.910055955606308,0.741666316986084,0.725654244422913,0.713097214698792,0.772345125675201,0.597559213638306,1,1,1,1,1,1,1,1,1,1
thoughtco.com,0.910055955606308,0.741666316986084,0.725654244422913,0.713097214698792,0.772345125675201,0.597559213638306,1,1,1,1,1,1,1,1,1,1
transparency.org,0.910055955606308,0.741666316986084,0.725654244422913,0.713097214698792,0.772345125675201,0.597559213638306,1,1,1,1,1,1,1,1,1,1
logically.ai,0.910055955606308,0.741666316986084,0.725654244422913,0.713097214698792,0.772345125675201,0.597559213638306,1,1,1,1,1,1,1,1,1,1
ire.org,0.910055955606308,0.741666316986084,0.725654244422913,0.713097214698792,0.772345125675201,0.597559213638306,1,1,1,1,1,1,1,1,1,1
americanpressinstitute.org,0.910055955606308,0.741666316986084,0.725654244422913,0.713097214698792,0.772345125675201,0.597559213638306,1,1,1,1,1,1,1,1,1,1
differencebetween.net,0.910055955606308,0.741666316986084,0.725654244422913,0.713097214698792,0.772345125675201,0.597559213638306,1,1,1,1,1,1,1,1,1,1
everycrsreport.com,0.910055955606308,0.741666316986084,0.725654244422913,0.713097214698792,0.772345125675201,0.597559213638306,1,1,1,1,1,1,1,1,1,1
oyez.org,0.910055955606308,0.741666316986084,0.725654244422913,0.713097214698792,0.772345125675201,0.597559213638306,1,1,1,1,1,1,1,1,1,1
reporterslab.org,0.910055955606308,0.741666316986084,0.725654244422913,0.713097214698792,0.772345125675201,0.597559213638306,1,1,1,1,1,1,1,1,1,1
sciencedebate.org,0.910055955606308,0.741666316986084,0.725654244422913,0.713097214698792,0.772345125675201,0.597559213638306,1,1,1,1,1,1,1,1,1,1
greenvilleonline.com,0.90983069049736,0.878224670886993,0.85729044675827,0.851305305957794,0.897676229476929,0.648734331130981,0.83963680267334,0.919999241828918,0.833429217338562,0.839661240577698,1,1,1,1,1,1
noaa.gov,0.909650346870873,0.741666316986084,0.725654244422913,0.713097214698792,0.772345125675201,0.597559213638306,1,0.996537327766418,1,1,1,1,1,1,1,1
sciencedirect.com,0.909650346870873,0.741666316986084,0.725654244422913,0.713097214698792,0.772345125675201,0.597559213638306,1,0.996537327766418,1,1,1,1,1,1,1,1
ieee.org,0.909650346870873,0.741666316986084,0.725654244422913,0.713097214698792,0.772345125675201,0.597559213638306,1,0.996537327766418,1,1,1,1,1,1,1,1
eurekalert.org,0.909650346870873,0.741666316986084,0.725654244422913,0.713097214698792,0.772345125675201,0.597559213638306,1,0.996537327766418,1,1,1,1,1,1,1,1
aps.org,0.909650346870873,0.741666316986084,0.725654244422913,0.713097214698792,0.772345125675201,0.597559213638306,1,0.996537327766418,1,1,1,1,1,1,1,1
iop.org,0.909650346870873,0.741666316986084,0.725654244422913,0.713097214698792,0.772345125675201,0.597559213638306,1,0.996537327766418,1,1,1,1,1,1,1,1
astronomy.com,0.909650346870873,0.741666316986084,0.725654244422913,0.713097214698792,0.772345125675201,0.597559213638306,1,0.996537327766418,1,1,1,1,1,1,1,1
aap.org,0.909650346870873,0.741666316986084,0.725654244422913,0.713097214698792,0.772345125675201,0.597559213638306,1,0.996537327766418,1,1,1,1,1,1,1,1
healthaffairs.org,0.909650346870873,0.741666316986084,0.725654244422913,0.713097214698792,0.772345125675201,0.597559213638306,1,0.996537327766418,1,1,1,1,1,1,1,1
skepticalscience.com,0.909650346870873,0.741666316986084,0.725654244422913,0.713097214698792,0.772345125675201,0.597559213638306,1,0.996537327766418,1,1,1,1,1,1,1,1
realclimate.org,0.909650346870873,0.741666316986084,0.725654244422913,0.713097214698792,0.772345125675201,0.597559213638306,1,0.996537327766418,1,1,1,1,1,1,1,1
societyforscience.org,0.909650346870873,0.741666316986084,0.725654244422913,0.713097214698792,0.772345125675201,0.597559213638306,1,0.996537327766418,1,1,1,1,1,1,1,1
bio.org,0.909650346870873,0.741666316986084,0.725654244422913,0.713097214698792,0.772345125675201,0.597559213638306,1,0.996537327766418,1,1,1,1,1,1,1,1
